プレイスメント ID, * サイト / ネットワーク, * セクション, * パッケージ名, * プレイスメント名," * 開始日
MM/DD/YYYY"," * 終了日
MM/DD/YYYY", * 申込インプレッション,サイト担当者, * プレイスメント タイプ, * バナー サイズ,IMバナー,クリックスルー URL,代理店 PO,コスト モデル,申込ユニット,コスト単価,ネットコスト,ROI アクション,アクション当たりの値,特記事項,外部参照, * メディア購入チャネル,分類 1,ターゲット,インプレッション トラッキング URL,フォースパーティ タグ,クリック トラッキング URL,Placement Tag
18454143,Google Display Network JP (Site),ROS,,fnc_EI_6_GDN_AT_PC_300_250_Ratina,7/21/16,11/30/16,無制限,,イン バナー,600X500,いいえ,,,,,,,,,,,Unclassified,,,,,,"<script src=""https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=rsb&c=28&pli=16650371&PluID=0&w=300&h=600&ord=${CACHEBUSTER}&ucm=true&ncu=$$${CLICKHERE}$$""></script>
<noscript>
<a href=""${CLICKHERE}https%3A//bs.serving-sys.com/BurstingPipe/adServer.bs%3Fcn%3Dbrd%26FlightID%3D16650371%26Page%3D%26PluID%3D0%26Pos%3D1273865218"" target=""_blank""><img src=""https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=bsr&FlightID=16650371&Page=&PluID=0&Pos=1273865218"" border=0 width=300 height=600></a>
</noscript>"
18454142,Google Display Network JP (Site),ROS,,fnc_EI_5_GDN_AT_SP_300_250_Ratina,7/21/16,11/30/16,無制限,,イン バナー,600X500,いいえ,,,,,,,,,,,Unclassified,,,,,,"<script src=""https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=rsb&c=28&pli=16650371&PluID=0&w=300&h=600&ord=${CACHEBUSTER}&ucm=true&ncu=$$${CLICKHERE}$$""></script>
<noscript>
<a href=""${CLICKHERE}https%3A//bs.serving-sys.com/BurstingPipe/adServer.bs%3Fcn%3Dbrd%26FlightID%3D16650371%26Page%3D%26PluID%3D0%26Pos%3D1273865218"" target=""_blank""><img src=""https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=bsr&FlightID=16650371&Page=&PluID=0&Pos=1273865218"" border=0 width=300 height=600></a>
</noscript>"
18454145,Google Display Network JP (Site),ROS,,EI_control_GDN_AT_PC_300_250_Ratina,7/21/16,11/30/16,無制限,,イン バナー,600X500,いいえ,,,,,,,,,,,Unclassified,,,,,,"<script src=""https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=rsb&c=28&pli=16650371&PluID=0&w=300&h=600&ord=${CACHEBUSTER}&ucm=true&ncu=$$${CLICKHERE}$$""></script>
<noscript>
<a href=""${CLICKHERE}https%3A//bs.serving-sys.com/BurstingPipe/adServer.bs%3Fcn%3Dbrd%26FlightID%3D16650371%26Page%3D%26PluID%3D0%26Pos%3D1273865218"" target=""_blank""><img src=""https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=bsr&FlightID=16650371&Page=&PluID=0&Pos=1273865218"" border=0 width=300 height=600></a>
</noscript>"
18454144,Google Display Network JP (Site),ROS,,fnc_EI_6_GDN_AT_SP_300_250_Ratina,7/21/16,11/30/16,無制限,,イン バナー,600X500,いいえ,,,,,,,,,,,Unclassified,,,,,,<アドはありません>
